Job Title,URL,What They Do,Types of Work Environments,Education and Training Requirements,Salary,Professional Organization Name,Professional Organization URL,Learn More Text,Learn More URL
Music Therapist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/music-therapist,"Music therapists address a patient's physical, emotional, cognitive, and social needs by developing an individualized music program for that patient. This may include creating, singing, moving to, or listening to different kinds of music. This kind of treatment can aid physical rehabilitation and gives patients who have difficulty expressing themselves verbally a way to communicate. Overall, the goal of a music therapist is to provide patients with emotional support and a place to express themselves at a potentially stressful or disheartening time in their lives.",Hospitals In-patient psychiatric wards Nursing homes Prisons,"Music therapists hold a bachelor's degree or higher in music therapy from a program accredited by the American Music Therapy Association (AMTA). These programs focus on three main areas: musical foundations, clinical foundations, and musical therapy foundations and principles. Potential music therapists must also complete 1,200 hours of clinical training, including a supervised internship. To practice professionally, music therapists must take a certification exam administered by the AMTA.","According to musictherapy.org , the median salary for Ohio is $48,000, and for those working in medical practices, the median salary is $53,500.",American Music Therapy Association,http://www.musictherapy.org/,music therapist: Stephanie; Music therapy,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/music-therapist-stephanie-morris; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/music-therapy-affiliated-programs
Angiography Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/angiography-technologist,"An angiography technologist (or an interventional radiologist, as they are sometimes known) uses an imaging technique called angiography to visualize the inside, or lumen, of blood vessels and organs of the body, with particular interest in the arteries, veins, and heart chambers. This is traditionally done by injecting a radio-opaque contrast agent into the blood vessel and imaging using X-ray-based techniques such as fluoroscopy. The film or image of the blood vessels is called an angiograph, or more commonly, an angiogram. Depending on the type of angiogram, access to the blood vessels is gained most commonly through the femoral artery, to look at the left side of the heart and the arterial system or the jugular or femoral vein, to look at the right side of the heart and the venous system. Using a system of guide wires and catheters, a type of contrast agent (which shows up by absorbing the X-rays), is added to the blood to make it visible on the X-ray images. The X-ray images taken may either be still images, displayed on an image intensifier or film, or motion images. For all structures except the heart, the images are usually taken using a technique called digital subtraction angiography (DSA). Images in this case are usually taken at 2 - 3 frames per second, which allows the radiologist to evaluate the flow of the blood through a vessel or vessels. This technique ""subtracts"" the bones and other organs so only the vessels filled with contrast agents can be seen. The heart images are taken at 15-30 frames per second, not using a subtraction technique. Because DSA requires the patient to remain motionless, it cannot be used on the heart. Both these techniques enable the radiologist or cardiologist to see stenosis (blockages or narrowing) inside the vessel which may be inhibiting the flow of blood and causing pain.",Hospitals Clinics Labs Outpatient centers,The American Registry of Radiologic Technologists requires that candidates seeking certification as an interventional radiology technologist must already hold certification in radiography. Interventional radiology technologists must register annually to maintain their certification.,"According to glassdoor.com , the median salary for angiography technologists is approximately $93,000 per year.",The Society of Interventional Radiology,http://www.sirweb.org/,interventional technologist: Anton,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/interventional-technologist-anton
Bone Densitometry Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/bone-density-technologist,"Bone densitometry technologists use a special type of X-ray equipment to measure bone mineral density at a specific anatomical site (usually the wrist, heel, spine, or hip) or to calculate total body bone mineral content. Results can be used by physicians to estimate the amount of bone loss due to osteoporosis. Bone density refers to the amount of matter per square centimeter of bones. Note that this is not a true ""density,"" which would be measured in mass per cubic area. It is measured by a procedure called densitometry, often performed in the radiology or nuclear medicine departments of hospitals or clinics. The measurement is painless and non-invasive and involves minimal radiation exposure.",Hospitals' imaging and radiology departments,,"According to salary.com , the median salary for bone densitometry technologists is approximately $37,460 per year.",The American Registry for Radiologic Technologists,https://www.arrt.org/,bone density technologist: Renee,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/bone-densitometry-tech-renee
Diagnostic Medical Sonographer,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/diagnostic-medical-sonographer,"Diagnostic medical sonographers use imaging devices that emit sound waves to create an image that will help physicians assess and diagnose various conditions. There are different kinds of imaging devices, this includes ultrasounds, sonograms, and echocardiograms. Generally, sonographic imaging devices use a handheld probe, which is moved over the area being surveyed to create a two-dimensional or three-dimensional image. These devices can be used for therapy, diagnosis, and even to guide interventional procedures like biopsies or draining fluid collections.",Hospitals Imaging clinics,Diagnostic medical sonographers must have a certificate/diploma or an associate degree from an accredited program and must be certified by passing an exam administered by the American Registry for Diagnostic Medical Sonography.,"According to the Bureau of Labor and Statistics , the median salary of diagnostic medical sonographers is approximately $84,410 per year.",The American Registry of Radiologic Technologists,https://www.arrt.org/,diagnostic medical sonographer: Amy; Diagnostic medical sonography; Diagnostic Medical Sonography Program (Beachwood); Diagnostic Medical Sonography Program (Mercy),https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/sonographer-amy; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/diagnostic-medical-sonography-affiliated-programs; https://my.clevelandclinic.org/departments/imaging/medical-professionals/school-of-diagnostic-imaging/diagnostic-medical-sonography-program; https://my.clevelandclinic.org/locations/mercy-hospital/medical-professionals/school-of-diagnostic-medical-sonography
Computed Tomography (CT) Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/ct-scan-technologist,"Computed tomography technologists use computerized tomography (CT) scanners to produce cross-section images of patients’ internal organs and tissues for the diagnosis of medical issues. A CT scan technologist must be able to accurately interpret a physician’s scanning instructions, administer contrast materials, prepare and operate the CT scan equipment, and position the patient to capture the appropriate images. Generally speaking, a CT technologist should be in good health because maneuvering equipment and patients who are disabled may pose physical challenges. CT scanners emit radiation, which can be harmful to the technologist and patient if proper safety procedures are not followed. CT scan technologists' jobs are most often located in hospitals and diagnostic imaging centers.",Hospitals Clinics Labs Outpatient centers,,"According to salary.com , the median salary for computed tomography (CT) technologists is approximately $80,984 per year.",The American Registry of Radiologic Technologists,https://www.arrt.org/,CT technologist: Melinda; CT technology; Post Primary Computed Tomography & Magnetic Resonance Imaging Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/ct-scan-technologist-melinda; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/ct-scan-technologist-affiliated-programs; https://my.clevelandclinic.org/departments/imaging/medical-professionals/school-of-diagnostic-imaging/computed-tomography-mri-program
Magnetic Resonance Imaging (MRI) Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/mri-technologist,"Magnetic resonance imaging technologists, also referred to as MRI technologists, utilize magnetic resonance imaging scanners to capture specific images ordered by a physician to aid in patient diagnosis. MRI technologists must be able to closely follow a physician's instructions, prepare and operate MRI equipment, position patients correctly, and effectively record the requested diagnostic images.",Hospitals Diagnostic imaging centers,,"According to salary.com , the median salary for magnetic resonance imaging (MRI) technologists is approximately $87,349 per year.",The American Registry of Magnetic Resonance Imaging Technologists,http://www.armrit.org/index.shtml,MRI technologist: Alicia; Post Primary Computed Tomography & Magnetic Resonance Imaging Programs; Primary Magnetic Resonance Imaging (MRI) Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/mri-technician-alicia; https://my.clevelandclinic.org/departments/imaging/medical-professionals/school-of-diagnostic-imaging/computed-tomography-mri-program; https://my.clevelandclinic.org/departments/imaging/medical-professionals/school-of-diagnostic-imaging/primary-magnetic-resonance-imaging-program
Mammography Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/mammography-technologist,"Mammography technologists operate a mammography unit to produce images of the breasts for diagnostic purposes under the direction of a physician. They explain the procedure to patients, position and immobilize the patient’s breast in the unit, and observe the scanning process. This involves monitoring the video display of the area being scanned and adjusting the density or contrast to improve picture quality. Mammography technologists then review and evaluate the film or image recording plate to determine if the images are satisfactory for diagnostic purposes. Throughout this whole process, mammography technologists use radiation safety measures and protection devices to comply with government regulations and to ensure the safety of patients and staff.",Hospitals Imaging clinics,"Most mammography technicians have an associate degree or a bachelor's degree in radiology. Sometimes during these undergraduate programs technicians will specialize in mammography. The American Registry for Radiologic Technologists also certifies mammography technicians, and forty states currently require this certification by law to practice.","According to salary.com , the median salary for mammography technologists is approximately $81,938 per year.",The American Registry for Radiologic Technologists,https://www.arrt.org/,mammography technologist: Arlene; Mammography technology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/mammography-technologist-arlene; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/mammography-technology-affiliated-programs
Nuclear Medicine Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/nuclear-medicine-technologist,"A nuclear medicine technologist operates high-tech medical equipment used in the diagnosis of many diseases and injuries. They utilize gamma cameras to attain functional images and process the image data using computers. They also prepare and administer radiopharmaceuticals and perform certain non-imaging studies as necessary, occasionally assisting with some radiotherapy procedures. In addition to working with complex apparatus, nuclear medicine technologists also spend a substantial amount of time working with people. Patients may be under considerable physical and mental stress, but technologists need to treat each person with professional care. Nuclear medicine technologists must be able to communicate with patients to get the right medical information needed for an accurate diagnosis.",Hospitals Imaging clinics,Nuclear medicine technologists who have qualified for jobs completed a nuclear medicine education program (associate or bachelor's degree) and possibly earned certification with the American Registry of Radiologic Technologists (ARRT) or the Nuclear Medicine Technology Certification Board (NMTCB). Many technologists also begin as radiology technologists or ultrasound technicians and undergo additional training and certification to become nuclear medicine technologists.,"According to the Bureau of Labor and Statistics, the median salary for nuclear medicine technologists is approximately $92,500 per year.",The American Registry of Radiologic Technologist,https://www.arrt.org/,nuclear medicine technologist: Ellie; Nuclear medicine technology; nuclear medicine technology,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/nuclear-medicine-technologist-ellie; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/nuclear-medicine-affiliated-programs; https://my.clevelandclinic.org/-/scassets/files/org/health-sciences/nuclear-medicine-technology.pdf?la=en
Radiologic Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/radiologic-technologist,"Also known as radiographers and medical imaging technologists, these specialists produce digital images of parts of the human body used to discover a patient’s medical problem. They are also involved in injecting special fluids into patients’ bloodstreams for diagnostic purposes. These professionals may specialize in more specific imaging techniques such as bone densitometry, cardiovascular-interventional radiography, computed tomography, mammography, magnetic resonance imaging, and nuclear medicine. After adequate experience, a radiologic technologist may work full-time to teach their skills to others.",Hospitals Outpatient clinics Physicians' offices Freestanding imaging centers Mobile companies,,"According to the Bureau of Labor Statistics , the median salary for radiologic technologists is approximately $75,250 per year.",The American Registry for Radiologic Technologists,https://www.arrt.org/,radiologic technologist: Moufideh; Radiologic technology; Radiologic Technology Program (Beachwood); Radiologic Technology Program (Mercy),https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/radiologic-technician-moufideh; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/radiologic-technology-affiliated-programs; https://my.clevelandclinic.org/departments/imaging/medical-professionals/school-of-diagnostic-imaging/radiologic-technology-program; https://my.clevelandclinic.org/locations/mercy-hospital/medical-professionals/school-of-radiologic-technology
Cardiovascular Technician,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/cardiovascular-technician,"Cardiovascular technicians use various imaging tools to help physicians identify and diagnose issues with the heart and the surrounding blood vessels. This includes non-invasive procedures such as echocardiography (imaging the heart) and vascular ultrasound (imaging the blood vessels), as well as some invasive procedures such as cardiovascular catheterization, stent insertion, balloon angioplasty, and implanting pacemakers. Cardiovascular technicians also explain various procedures to patients to help them relax, so those wishing to pursue this career must be willing to work with patients.",Hospitals Diagnostic laboratories,Most cardiovascular technicians have a high school diploma or a GED and have gone on to receive an associate degree.,"According to the Bureau of Labor and Statistics , the median salary for cardiovascular technicians is approximately $80,850 per year.",The Alliance of Cardiovascular Professionals,https://acp-online.org/sicp-to-join-acvp/,,
Echocardiograph Technician,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/echocardiograph-echo-technician,Echocardiograph technicians are a very specific kind of diagnostic medical sonographer dealing with the heart. Echo technicians use ultrasound devices and other imaging tools that use sound waves to create images of the heart. They inspect the chambers and walls of the heart as well as the valves. An echocardiogram can be administered externally on a patient's chest but can also be conducted by placing a tube down a patient's esophagus to get closer to the heart internally.,Hospitals Imaging clinics,"Although some echo technicians gain their training on the job, it is helpful to attend a formal education program. This is usually a post-secondary course of study that awards a certificate/diploma, an associate degree, or even a bachelor's degree in echocardiography or diagnostic medical sonography. Certification for this career is voluntary at this point, but many employers prefer to hire candidates who have proven their abilities through certification.","According to salary.com , the median salary for echocardiograph technicians is approximately $84,712 per year.",The American Society of Echocardiography,http://www.asecho.org/,Echocardiography technician; School of Cardiac Ultrasound,https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/echocardiography-affiliated-programs; https://my.clevelandclinic.org/departments/heart/medical-professionals/fellowship-residency/cardiac-ultrasound
Vascular Sonography Technologist,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/vascular-sonography-technologist,"Vascular sonography technologists are important members of the vascular team. They work closely with radiologists, cardiologists, and surgeons. Vascular sonography technologists assist physicians in the diagnosis and treatment of a wide variety of disorders affecting the vascular system. Vascular sonography technologists perform non-invasive vascular exams in order to assess for vascular disease or disorders. They are unique in the medical imaging profession because they work with a high level of independence. One of the biggest responsibilities of a vascular sonography technologist is to compile information that is gathered on an exam to give a preliminary impression. To do this, the vascular technologist must have adequate training in vascular scanning techniques as well as have knowledge about vascular disease. A thorough patient history must be taken to correlate the findings of the exam. Once the exam is finished, they will report directly to a physician with the results. The vascular sonography technologist is also responsible for providing patient care and safety throughout the exam. They should know how to respond appropriately in emergency situations.",Hospitals,"There are programs that give students an opportunity to learn many different fields of ultrasound and then pick a specialty. These programs often provide students with an associate degree upon completion. The American Registry of Diagnostic Medical Sonographers (ARDMS) also offers different pathways for individuals who hold a bachelor's degree, medical degree, or are already registered in general sonography. In pursuing this career, the goal is to earn credentials as a Registered Vascular Technologist (RVT) through the American Registry for Diagnostic Medical Sonography and/or a Registered Vascular Sonographer through the American Registry of Radiologic Technologists.","According to salary.com the median salary for vascular sonography technologists is approximately $84,451 per year.",The American Registry for Diagnostic Medical Sonography,http://www.ardms.org/,vascular sonography technologist: Sandra; Vascular sonography technology; Cardiac Ultrasound Program,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/vascular-sonography-tech-sandra; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/vascular-sonography-affiliated-programs; https://my.clevelandclinic.org/departments/heart/medical-professionals/fellowship-residency/cardiac-ultrasound
Health Information Manager,https://my.clevelandclinic.org/departments/health-sciences-education/careers/career-options/health-information-manager,"Health information management is the organization and maintenance of patients' medical records. Professionals working in health information management are experts on healthcare information, designing and running systems to store and access information. They are also responsible for coding diagnoses and procedures for reimbursement. They make sure that patients' health information remains confidential and is only released per federal and state laws. There are many different possible career paths with an education in health information management.","Hospitals Hospices Insurance companies Rehabilitation and chemical dependence facilities Long-term care facilities Remotely, as self-employed consultants",Health information managers receive either an associate's or bachelor's degree in health information management from an accredited program. It is also possible to receive a post-graduate certification or secondary degree for those who already have a bachelor's degree in another subject. The American Health Information Management Association also administers exams to register and certify health information management professionals. There are two types of certifications: Registered Health Information Administrators (RHIAs) and Registered Health Information Technicians (RHITs).,"According to the Bureau of Labor and Statistics , the median salary for health information managers is approximately $110,680 per year.",The American Health Information Management Association,http://www.ahima.org/,health information management project manager: Sandy; Health information management,https://my.clevelandclinic.org/departments/health-sciences-education/careers/meet-the-professionals/health-information-management-project-manager-sandy; https://my.clevelandclinic.org/departments/health-sciences-education/training-programs/affiliate-training-programs/health-informtation-technology-affiliated-programs
